syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql3,blabel-cross-graph-bad,False,True,True,True,True,ASK,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql3,blabel-cross-optional-bad,False,True,True,True,True,ASK,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql3,blabel-cross-union-bad,False,True,True,True,True,ASK,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-34,False,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-35,False,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-36,False,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-37,False,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-38,False,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-OPT-breaks-BGP,False,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-UNION-breaks-BGP,False,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-GRAPH-breaks-BGP,False,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest11,data-sparql11,syntax-query,test_65,False,True,True,True,True,SELECT,False,,
True,True,False,NegativeUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_54,False,True,True,True,True,MODIFY,False,,
